VEHICLE TYPE,MAKE,GENERIC MODEL,BODY TYPE,BATTERY TYPE,CAPACITY(KWH),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
CARS,KIA,KIA EV6,ELECTRIC CAR,LITHIUM-ION,67.7,920,0,0,0,0,0,0,0,0,0,0,0,920
CARS,VOLVO,VOLVO XC40,SUV,LITHIUM-ION,84,6345,3549,0,0,0,0,0,0,0,0,0,0,9894
CARS,FIAT,FIAT 500,HATCHBACK,LITHIUM-ION,42,2630,0,0,0,0,0,0,0,0,0,0,0,2630
CARS,AUDI,AUDI A3,SEDAN,LITHIUM-ION,58,5752,1420,0,531,637,567,1198,66,0,0,0,0,10171
CARS,MERCEDES,MERCEDES EQA CLASS,SUV,LITHIUM-ION,66.5,5109,0,0,0,0,0,0,0,0,0,0,0,5109
CARS,HYUNDAI,HYUNDAI TUCSON,SUV,LITHIUM-ION,64,882,0,0,0,0,0,0,0,0,0,0,0,882
CARS,VAUXHALL,VAUXHALL CORSA,HATCHBACK,LITHIUM-ION,50,5607,2857,0,0,0,0,0,0,0,0,0,0,8464
CARS,VOLVO,VOLVO XC90,SUV,LITHIUM-ION,78,2546,1608,1573,1169,1793,1600,38,0,0,0,0,0,10327
CARS,KIA,KIA SPORTAGE,SUV,LITHIUM-ION,77.4,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,CITROEN,CITROEN C4,HATCHBACK,LITHIUM-ION,50,1346,0,0,0,0,0,0,0,0,0,0,0,1346
CARS,VOLKSWAGEN,VOLKSWAGEN ID5,ELECTRIC CAR,LITHIUM-ION,58,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES EQB CLASS,SUV,LITHIUM-ION,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MERCEDES,MERCEDES CLA CLASS,SEDAN,LITHIUM-ION,66.5,1469,1001,0,0,0,0,0,0,0,0,0,0,2470
CARS,BMW,BMW I3,ELECTRIC CAR,LITHIUM-ION,42.2,3597,4448,4093,1209,981,593,603,556,94,0,0,0,16174
CARS,NISSAN,NISSAN ARIYA,SUV,LITHIUM-ION,63,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,VOLKSWAGEN,VOLKSWAGEN GOLF,HATCHBACK,LITHIUM-ION,35.8,1682,1441,6,3334,2409,1893,1380,0,0,0,0,0,12145
CARS,PORSCHE,PORSCHE TAYCAN,ELECTRIC CAR,LITHIUM-ION,79.2,4018,3128,0,0,0,0,0,0,0,0,0,0,7146
CARS,MG,MG 4,HATCHBACK,LITHIUM-ION,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,MINI,MINI COUNTRYMAN,SUV,LITHIUM-ION,29.7,2435,2103,3772,2305,974,0,0,0,0,0,0,0,11589
CARS,TOYOTA,TOYOTA RAV4,SUV,LITHIUM-ION,40.4,1552,0,0,0,0,0,0,0,0,0,0,0,1552
CARS,LAND ROVER,LAND ROVER DISCOVERY,SUV,LITHIUM-ION,90,2497,557,0,0,0,0,0,0,0,0,0,0,3054
CARS,VOLVO,VOLVO XC40,SUV,LITHIUM-ION,84,1798,0,0,0,0,0,0,0,0,0,0,0,1798
CARS,BMW,BMW 5 SERIES,SEDAN,LITHIUM-ION,71,2112,1318,4355,6571,1982,0,0,0,0,0,0,0,16338
CARS,MERCEDES,MERCEDES GLE CLASS,SUV,LITHIUM-ION,80,1274,480,0,0,0,0,0,0,0,0,0,0,1754
