VEHICLE TYPE,MAKE,GENERIC MODEL,BODY TYPE,BATTERY TYPE,CAPACITY(KWH),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
LIGHT GOODS VEHICLES,VAUXHALL,VAUXHALL VIVARO,MINIVAN/VAN,LITHIUM-ION,62.5,2752,266,0,0,0,0,0,0,0,0,0,0,3018
LIGHT GOODS VEHICLES,FORD,FORD TRANSIT,MINIVAN/VAN,LITHIUM-ION,79.5,0,6,0,0,0,0,0,0,0,0,0,0,6
LIGHT GOODS VEHICLES,MAXUS,MAXUS DELIVER,MINIVAN/VAN,LITHIUM-ION,61.75,1467,48,0,0,0,0,0,0,0,0,0,0,1515
LIGHT GOODS VEHICLES,PEUGEOT,PEUGEOT PARTNER,MINIVAN/VAN,LITHIUM-ION,50,28,10,198,120,153,34,33,24,0,0,0,0,600
LIGHT GOODS VEHICLES,PEUGEOT,PEUGEOT EXPERT,MINIVAN/VAN,LITHIUM-ION,62.5,937,60,0,0,0,0,0,0,0,0,0,0,997
LIGHT GOODS VEHICLES,MERCEDES,MERCEDES VITO,MINIVAN/VAN,LITHIUM-ION,50.7,1064,184,121,0,0,0,5,0,6,0,0,0,1380
LIGHT GOODS VEHICLES,TOYOTA,TOYOTA PROACE,MINIVAN/VAN,LITHIUM-ION,62.5,592,0,0,0,0,0,0,0,0,0,0,0,592
LIGHT GOODS VEHICLES,VAUXHALL,VAUXHALL COMBO,MINIVAN/VAN,LITHIUM-ION,50,160,0,0,0,0,0,0,0,0,0,0,0,160
LIGHT GOODS VEHICLES,LEVC,LEVC VN5,MINIVAN/VAN,LITHIUM-ION,31,347,21,0,0,0,0,0,0,0,0,0,0,368
LIGHT GOODS VEHICLES,MERCEDES,MERCEDES SPRINTER,MINIVAN/VAN,LITHIUM-ION,45,1144,953,0,0,0,0,0,0,0,0,0,0,2097
LIGHT GOODS VEHICLES,CITROEN,CITROEN BERLINGO,MINIVAN/VAN,LITHIUM-ION,50,12,21,72,72,36,16,0,0,0,0,0,0,229
LIGHT GOODS VEHICLES,CITROEN,CITROEN DISPATCH,MINIVAN/VAN,LITHIUM-ION,50,280,13,0,0,0,0,0,0,0,0,0,0,293
LIGHT GOODS VEHICLES,RENAULT,RENAULT KANGOO,MINIVAN/VAN,LITHIUM-ION,38.5,942,1157,957,307,163,135,103,225,173,259,33,0,4454
LIGHT GOODS VEHICLES,RENAULT,RENAULT ZOE,ELECTRIC CAR,LITHIUM-ION,53.5,505,14,0,0,0,0,0,0,0,0,0,0,519
LIGHT GOODS VEHICLES,FIAT,FIAT SCUDO,MINIVAN/VAN,LITHIUM-ION,50,0,0,0,0,0,0,0,0,0,0,0,0,0
LIGHT GOODS VEHICLES,FORD,FORD TRANSIT CUSTOM,MINIVAN/VAN,LITHIUM-ION,79.5,727,210,0,0,0,0,0,0,0,0,0,0,937
LIGHT GOODS VEHICLES,NISSAN,NISSAN NV200,MINIVAN/VAN,LITHIUM-ION,40,1575,2146,1629,589,796,759,639,381,0,0,0,0,8514
LIGHT GOODS VEHICLES,FIAT,FIAT DUCATO,MINIVAN/VAN,LITHIUM-ION,63,33,0,0,0,0,0,0,0,0,0,0,0,33
LIGHT GOODS VEHICLES,CITROEN,CITROEN RELAY,MINIVAN/VAN,LITHIUM-ION,53.5,109,0,0,0,0,0,0,0,0,0,0,0,109
LIGHT GOODS VEHICLES,DFSK,DFSK EC35,MINIVAN/VAN,LITHIUM-ION,50,0,0,0,0,0,0,0,0,0,0,0,0,0
LIGHT GOODS VEHICLES,ALKE,ALKE ATX,MINIVAN/VAN,LEAD-ACID,13424,7,0,0,0,0,0,0,0,0,0,0,0,7
LIGHT GOODS VEHICLES,RENAULT,RENAULT TWIZY,ELECTRIC CAR,LITHIUM-ION,6.1,17,8,36,0,0,0,0,0,0,0,0,0,61
LIGHT GOODS VEHICLES,MITSUBISHI,MITSUBISHI OUTLANDER,SUV,LITHIUM-ION,12.9,121,320,206,147,94,77,94,0,0,0,0,0,1059
MOTORCYCLES,SILENCE,SILENCE S SERIES,SCOOTER,LITHIUM-ION,5.6,97,0,0,0,0,0,0,0,0,0,0,0,97
MOTORCYCLES,YAMAHA,YAMAHA NEO'S,SCOOTER,LITHIUM-ION,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,KEEWAY,KEEWAY E-ZI,SCOOTER,LITHIUM-ION,1.8,88,0,0,0,0,0,0,0,0,0,0,0,88
MOTORCYCLES,NIU,NIU M SERIES,SCOOTER,LITHIUM-ION,2.25,152,139,131,5,0,0,0,0,0,0,0,0,427
MOTORCYCLES,VMOTO,VMOTO CUX,SCOOTER,LITHIUM-ION,1.5,124,90,51,0,0,0,0,0,0,0,0,0,265
MOTORCYCLES,YADEA,YADEA S-LIKE,SCOOTER,LITHIUM-ION,2.1,27,0,0,0,0,0,0,0,0,0,0,0,27
MOTORCYCLES,VMOTO,VMOTO TC1,SCOOTER,LITHIUM-ION,2.88,61,94,110,63,0,0,0,0,0,0,0,0,328
MOTORCYCLES,ELECTRIC MOTION,ELECTRIC MOTION EPURE,SCOOTER,LITHIUM-ION,3.9,106,0,0,0,0,0,0,0,0,0,0,0,106
MOTORCYCLES,HORWIN,HORWIN CR6,SCOOTER,LITHIUM-ION,3.24,28,31,0,0,0,0,0,0,0,0,0,0,59
MOTORCYCLES,VMOTO,VMOTO TS1,SCOOTER,LITHIUM-ION,2.4,60,44,0,0,0,0,0,0,0,0,0,0,104
MOTORCYCLES,YADEA,YADEA G5,SCOOTER,LITHIUM-ION,3,44,12,0,0,0,0,0,0,0,0,0,0,56
MOTORCYCLES,ASKOLL,ASKOLL ESPRO,SCOOTER,LITHIUM-ION,2.7,219,8,27,0,0,0,0,0,0,0,0,0,254
MOTORCYCLES,E-MAX,E-MAX LB1,SCOOTER,LITHIUM-ION,3.5,32,0,0,0,0,0,0,0,0,0,0,0,32
MOTORCYCLES,LEXMOTO,LEXMOTO LX,SCOOTER,LITHIUM-ION,2.25,9,0,0,0,0,0,0,0,0,0,0,0,9
MOTORCYCLES,SUNRA,SUNRA ROBO,SCOOTER,LITHIUM-ION,1.56,19,0,0,0,0,0,0,0,0,0,0,0,19
MOTORCYCLES,BMW,BMW CE,SCOOTER,LITHIUM-ION,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,VMOTO,VMOTO CUM,SCOOTER,LITHIUM-ION,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,HORWIN,HORWIN EK3,SCOOTER,LITHIUM-ION,4.32,48,0,0,0,0,0,0,0,0,0,0,0,48
MOTORCYCLES,LVNENG,LVNENG LX,SCOOTER,LITHIUM-ION,2.5,27,0,0,0,0,0,0,0,0,0,0,0,27
MOTORCYCLES,HORWIN,HORWIN EK1,SCOOTER,LITHIUM-ION,1.92,80,0,0,0,0,0,0,0,0,0,0,0,80
MOTORCYCLES,ZERO,ZERO S ZF,SCOOTER,LITHIUM-ION,10.8,30,17,0,0,0,0,0,0,0,0,0,0,47
MOTORCYCLES,LEXMOTO,LEXMOTO CYPHER,SCOOTER,LITHIUM-ION,2.88,17,0,0,0,0,0,0,0,0,0,0,0,17
MOTORCYCLES,PIAGGIO,PIAGGIO VESPA,SCOOTER,LITHIUM-ION,3.3,72,53,44,0,0,0,0,0,0,0,0,0,169
MOTORCYCLES,SAKURA,SAKURA JS2A,SCOOTER,LITHIUM-ION,2.3,39,12,0,0,0,0,0,0,0,0,0,0,51
MOTORCYCLES,ZERO,ZERO FX ZF,SCOOTER,LITHIUM-ION,5.4,7,5,0,0,0,0,0,0,0,0,0,0,12
MOTORCYCLES,ZERO,ZERO SRS ZF,SCOOTER,LITHIUM-ION,14.4,31,32,0,0,0,0,0,0,0,0,0,0,63
MOTORCYCLES,ARTISAN,ARTISAN EV 2000,SCOOTER,LITHIUM-ION,40,73,56,22,11,0,0,0,0,0,0,0,0,162
MOTORCYCLES,SUNRA,SUNRA MIKU,SCOOTER,LITHIUM-ION,0.6,18,0,0,0,0,0,0,0,0,0,0,0,18
MOTORCYCLES,UBCO,UBCO 2X2,SCOOTER,LITHIUM-ION,2.1,27,0,0,0,0,0,0,0,0,0,0,0,27
MOTORCYCLES,NIU,NIU U SERIES,SCOOTER,LITHIUM-ION,2.4,77,53,33,0,0,0,0,0,0,0,0,0,163
MOTORCYCLES,SUR-RON,SUR-RON STORM BEE,SCOOTER,LITHIUM-ION,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,DAYI MOTOR,DAYI MOTOR E-ODIN,SCOOTER,LITHIUM-ION,5,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ZERO,ZERO SRF ZF,SCOOTER,LITHIUM-ION,14.4,37,6,18,0,0,0,0,0,0,0,0,0,61
MOTORCYCLES,BILIS,BILIS LX04,SCOOTER,LITHIUM-ION,2.56,16,0,0,0,0,0,0,0,0,0,0,0,16
MOTORCYCLES,COOPOP,COOPOP Q1,SCOOTER,LITHIUM-ION,2,14,0,0,0,0,0,0,0,0,0,0,0,14
MOTORCYCLES,MGB,MGB G1,SCOOTER,LITHIUM-ION,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ELECTRIC MOTION,ELECTRIC MOTION ESCAPE,SCOOTER,LITHIUM-ION,6,14,0,0,0,0,0,0,0,0,0,0,0,14
MOTORCYCLES,MGB,MGB E4,SCOOTER,LITHIUM-ION,4,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,NIU,NIU MGT,SCOOTER,LITHIUM-ION,3.12,39,0,0,0,0,0,0,0,0,0,0,0,39
MOTORCYCLES,NIU,NIU N SERIES,SCOOTER,LITHIUM-ION,2.4,35,49,52,19,0,0,0,0,0,0,0,0,155
MOTORCYCLES,ARTISAN,ARTISAN JS,SCOOTER,LITHIUM-ION,19.2,5,5,0,0,0,0,0,0,0,0,0,0,10
MOTORCYCLES,LEXMOTO,LEXMOTO ZS,SCOOTER,LITHIUM-ION,2.9,160,35,0,0,0,0,0,0,0,0,0,0,195
MOTORCYCLES,VOGE,VOGE ER10,SCOOTER,LITHIUM-ION,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ZERO,ZERO SR ZF,SCOOTER,LITHIUM-ION,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ARTISAN,ARTISAN ES1-PRO,SCOOTER,LITHIUM-ION,8,5,13,0,0,0,0,0,0,0,0,0,0,18
MOTORCYCLES,ARTISAN,ARTISAN EVO,SCOOTER,LITHIUM-ION,17,5,5,16,0,0,0,0,0,0,0,0,0,26
MOTORCYCLES,EFUN,EFUN TIGER,SCOOTER,LITHIUM-ION,3.2,8,0,0,0,0,0,0,0,0,0,0,0,8
MOTORCYCLES,E-MAX,E-MAX VSA,SCOOTER,LITHIUM-ION,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ENERGICA,ENERGICA EVA,SCOOTER,LITHIUM-ION,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,HARLEY-DAVIDSON,HARLEY-DAVIDSON ELW,SCOOTER,LITHIUM-ION,15.5,34,38,13,0,0,0,0,0,0,0,0,0,85
MOTORCYCLES,TROMOX,TROMOX MINO,SCOOTER,LITHIUM-ION,3.2,6,0,0,0,0,0,0,0,0,0,0,0,6
MOTORCYCLES,VMOTO,VMOTO SOCO TS,SCOOTER,LITHIUM-ION,1.8,17,13,6,37,5,0,0,0,0,0,0,0,78
MOTORCYCLES,ZERO,ZERO DS ZF,SCOOTER,LITHIUM-ION,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ZERO,ZERO DSR ZF,SCOOTER,LITHIUM-ION,14.4,7,0,0,13,0,0,0,0,0,0,0,0,20
MOTORCYCLES,ZERO,ZERO FXS ZF,SCOOTER,LITHIUM-ION,7.2,35,24,5,5,0,0,0,0,0,0,0,0,69
MOTORCYCLES,ARTISAN,ARTISAN EV 1200,SCOOTER,LITHIUM-ION,4.8,0,0,0,12,18,5,0,0,0,0,0,0,35
MOTORCYCLES,BMW,BMW C EVOLUTION,SCOOTER,LITHIUM-ION,12.7,0,8,11,30,35,10,18,17,0,0,0,0,129
MOTORCYCLES,ECOOTER,ECOOTER E1,SCOOTER,LITHIUM-ION,1.9,0,21,0,0,0,0,0,0,0,0,0,0,21
MOTORCYCLES,ERIDER,ERIDER B2000,SCOOTER,LITHIUM-ION,2.4,0,0,0,18,27,0,0,0,0,0,0,6,51
MOTORCYCLES,ERIDER,ERIDER B3000,SCOOTER,LITHIUM-ION,3.6,0,0,0,0,0,0,0,0,0,0,0,14,14
MOTORCYCLES,ERIDER,ERIDER T4000,SCOOTER,LITHIUM-ION,4.8,0,0,0,0,0,0,0,0,0,0,5,5,10
MOTORCYCLES,LIFAN,LIFAN LF 1200,SCOOTER,LITHIUM-ION,1.9,0,16,57,0,0,0,0,0,0,0,0,0,73
MOTORCYCLES,LVNENG,LVNENG LN,SCOOTER,LITHIUM-ION,1.6,18,6,0,0,0,0,0,0,0,0,0,0,24
MOTORCYCLES,NIU,NIU NGT,SCOOTER,LITHIUM-ION,2.7,0,57,163,0,0,0,0,0,0,0,0,0,220
MOTORCYCLES,SAITING,SAITING ST,SCOOTER,LITHIUM-ION,2.8,0,0,0,0,0,0,0,0,0,12,0,0,12
MOTORCYCLES,SCUTUM,SCUTUM S,SCOOTER,LITHIUM-ION,4.9,0,0,6,0,7,106,0,0,0,0,0,0,119
MOTORCYCLES,TORROT,TORROT MUVI,SCOOTER,LITHIUM-ION,1.8,0,0,0,25,23,0,0,0,0,0,0,0,48
MOTORCYCLES,VECTRIX,VECTRIX MAXI SCOOTER,SCOOTER,LITHIUM-ION,13,0,0,0,0,0,0,0,0,0,0,0,5,5
MOTORCYCLES,VMOTO,VMOTO VT 120,SCOOTER,LEAD-ACID,0.7,38,0,104,64,0,0,0,0,0,0,0,0,206
MOTORCYCLES,WK BIKES,WK BIKES E-COLT,SCOOTER,LITHIUM-ION,2.4,0,12,0,0,0,0,0,0,0,0,0,0,12
MOTORCYCLES,YAMAHA,YAMAHA ED,SCOOTER,LITHIUM-ION,0.5,0,0,0,0,0,0,32,62,20,41,0,0,155
MOTORCYCLES,YINHUA,YINHUA TDR,SCOOTER,LEAD-ACID,0.72,0,0,0,0,0,0,23,0,0,0,0,0,23
OTHER VEHICLES,LEVC,LEVC TX,SEDAN,LITHIUM-ION,31,1103,943,2132,1197,0,0,0,0,0,0,0,0,5375
OTHER VEHICLES,NISSAN,NISSAN NV200,MINIVAN/VAN,LITHIUM-ION,40,94,66,10,0,0,0,0,0,0,0,0,0,170
